epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,7378.5,1.45665,0.49157,0.00481,0.86202,0.83809,0.88084,0.42848,1.86974,0.76222,0.00756,0.000808828,0.000808828,0.000808828
54,7515.83,1.46083,0.48108,0.00485,0.82896,0.84871,0.87194,0.41988,1.89644,0.77623,0.00769,0.000792325,0.000792325,0.000792325
55,7652.65,1.44946,0.47523,0.00467,0.86537,0.84037,0.88382,0.42844,1.86979,0.78936,0.00749,0.000775822,0.000775822,0.000775822
56,7788.24,1.4296,0.46449,0.00469,0.85246,0.83946,0.87435,0.42211,1.86662,0.7785,0.0075,0.000759318,0.000759318,0.000759318
57,7924.03,1.41469,0.47343,0.00462,0.8325,0.85935,0.8703,0.42232,1.88912,0.75143,0.00763,0.000742815,0.000742815,0.000742815
58,8059.62,1.40956,0.46983,0.00462,0.85341,0.85308,0.87611,0.43402,1.85595,0.74174,0.00742,0.000726312,0.000726312,0.000726312
59,8195.15,1.39697,0.46305,0.00458,0.86526,0.84612,0.88098,0.42999,1.84653,0.75565,0.00742,0.000709809,0.000709809,0.000709809
60,8330.66,1.38752,0.44091,0.0045,0.84014,0.86889,0.87833,0.42345,1.87835,0.76087,0.0075,0.000693305,0.000693305,0.000693305
61,8466.2,1.35788,0.42807,0.00447,0.87254,0.85308,0.88958,0.43883,1.88175,0.7228,0.00745,0.000676802,0.000676802,0.000676802
62,8602.09,1.3446,0.42859,0.00439,0.85877,0.85508,0.88539,0.43035,1.89579,0.76388,0.00758,0.000660299,0.000660299,0.000660299
63,8737.7,1.349,0.42831,0.00443,0.86479,0.831,0.86896,0.42301,1.8939,0.73475,0.00755,0.000643795,0.000643795,0.000643795
64,8873.24,1.32541,0.41421,0.00433,0.84926,0.85571,0.86757,0.42374,1.90053,0.77638,0.00763,0.000627292,0.000627292,0.000627292
65,9008.8,1.30213,0.41731,0.00421,0.87161,0.84308,0.8777,0.43164,1.89019,0.7728,0.00759,0.000610789,0.000610789,0.000610789
66,9144.49,1.30133,0.41348,0.00418,0.85267,0.858,0.87512,0.42715,1.89355,0.75247,0.00763,0.000594286,0.000594286,0.000594286
67,9280.17,1.29847,0.40729,0.00423,0.87342,0.84956,0.88489,0.42379,1.90747,0.72875,0.00766,0.000577782,0.000577782,0.000577782
68,9415.55,1.27538,0.39782,0.00413,0.85772,0.8778,0.88345,0.43762,1.87974,0.74764,0.00753,0.000561279,0.000561279,0.000561279
69,9550.97,1.24683,0.38623,0.00397,0.8479,0.85138,0.87476,0.43174,1.89375,0.76825,0.00758,0.000544776,0.000544776,0.000544776
70,9686.35,1.24711,0.38424,0.00404,0.85763,0.84706,0.87503,0.42414,1.90148,0.78689,0.00758,0.000528272,0.000528272,0.000528272
71,9822.09,1.2262,0.3764,0.00396,0.8582,0.85429,0.88363,0.43597,1.89807,0.77675,0.00759,0.000511769,0.000511769,0.000511769
