epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,45321.8,0.95012,0.69708,0.96738,0.86942,0.79556,0.8744,0.65548,0.68779,0.42272,0.86802,0.002377,0.002377,0.002377
79,45899.9,0.94995,0.69562,0.96794,0.86963,0.79794,0.87345,0.65609,0.68663,0.42159,0.86755,0.002278,0.002278,0.002278
80,46478.4,0.94372,0.68874,0.96398,0.87638,0.79236,0.87349,0.65611,0.68546,0.42071,0.86725,0.002179,0.002179,0.002179
81,47056.9,0.93965,0.68487,0.96307,0.88129,0.78483,0.8728,0.65632,0.68453,0.41954,0.86697,0.00208,0.00208,0.00208
82,47635.5,0.93708,0.68328,0.96008,0.8825,0.78468,0.87335,0.65599,0.68353,0.4183,0.86653,0.001981,0.001981,0.001981
83,48213.1,0.92795,0.67445,0.95847,0.88709,0.78489,0.87304,0.65647,0.68228,0.4178,0.866,0.001882,0.001882,0.001882
84,48791.4,0.92499,0.67225,0.95899,0.89198,0.77849,0.87268,0.65646,0.68158,0.41654,0.8657,0.001783,0.001783,0.001783
85,49370.1,0.92429,0.66772,0.95727,0.88934,0.77897,0.87282,0.65671,0.6805,0.41577,0.86538,0.001684,0.001684,0.001684
86,49948.7,0.92147,0.66564,0.95527,0.88805,0.78015,0.87392,0.65653,0.6798,0.41479,0.86522,0.001585,0.001585,0.001585
87,50526.8,0.90993,0.65821,0.95273,0.89349,0.77929,0.87451,0.65677,0.67899,0.41403,0.86499,0.001486,0.001486,0.001486
88,51104.8,0.91214,0.65814,0.95397,0.89373,0.77571,0.87376,0.65779,0.67785,0.41314,0.86471,0.001387,0.001387,0.001387
89,51683.9,0.90673,0.65428,0.95018,0.89037,0.77871,0.87321,0.65765,0.67676,0.4123,0.86421,0.001288,0.001288,0.001288
90,52262.7,0.90222,0.64766,0.94877,0.88938,0.7789,0.87331,0.65812,0.67606,0.41127,0.86415,0.001189,0.001189,0.001189
91,52856.3,0.86398,0.60148,0.91084,0.89044,0.77774,0.87285,0.65869,0.67515,0.41012,0.86403,0.00109,0.00109,0.00109
92,53429.7,0.84865,0.58999,0.90531,0.8937,0.77555,0.87242,0.65842,0.67418,0.40949,0.86374,0.000991,0.000991,0.000991
93,54001.1,0.84012,0.58061,0.90114,0.89525,0.77437,0.87176,0.65813,0.67362,0.40883,0.86365,0.000892,0.000892,0.000892
94,54571.9,0.83108,0.57446,0.89783,0.89717,0.77515,0.87132,0.65787,0.67321,0.40793,0.86342,0.000793,0.000793,0.000793
95,55142.3,0.82721,0.57008,0.89652,0.8968,0.77518,0.87085,0.6581,0.67306,0.40726,0.86333,0.000694,0.000694,0.000694
96,55713.6,0.82074,0.56375,0.89601,0.89783,0.77426,0.87132,0.65856,0.67272,0.40689,0.86314,0.000595,0.000595,0.000595
