epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,2028.17,1.19404,0.62209,0.97784,0.83936,0.86168,0.85637,0.41438,1.90108,0.92557,1.33669,0.000808828,0.000808828,0.000808828
54,2065.81,1.19098,0.6202,0.97594,0.84908,0.84211,0.85562,0.42127,1.89318,0.92641,1.33859,0.000792325,0.000792325,0.000792325
55,2103.36,1.18922,0.6215,0.9729,0.88005,0.85263,0.86125,0.42666,1.8998,0.92775,1.3409,0.000775822,0.000775822,0.000775822
56,2140.84,1.19687,0.62537,0.97662,0.85968,0.82456,0.86412,0.42423,1.88073,0.89607,1.32838,0.000759318,0.000759318,0.000759318
57,2178.51,1.18272,0.61413,0.97406,0.86296,0.85614,0.86894,0.42469,1.88114,0.92221,1.33639,0.000742815,0.000742815,0.000742815
58,2216.07,1.18161,0.61183,0.97298,0.88393,0.86316,0.87867,0.42583,1.90502,0.92996,1.33809,0.000726312,0.000726312,0.000726312
59,2253.61,1.18489,0.61527,0.97172,0.90004,0.85614,0.87852,0.42861,1.87674,0.89606,1.31558,0.000709809,0.000709809,0.000709809
60,2291.12,1.15829,0.59676,0.96287,0.87197,0.85614,0.86988,0.42501,1.89095,0.89987,1.33874,0.000693305,0.000693305,0.000693305
61,2328.65,1.15209,0.59609,0.96449,0.87603,0.86785,0.88617,0.43092,1.90412,0.89746,1.34835,0.000676802,0.000676802,0.000676802
62,2366.38,1.14202,0.59144,0.96538,0.86229,0.85687,0.85627,0.42963,1.87429,0.92162,1.32292,0.000660299,0.000660299,0.000660299
63,2404.19,1.11895,0.5905,0.95092,0.86579,0.86017,0.87149,0.42634,1.86703,0.93758,1.32372,0.000643795,0.000643795,0.000643795
64,2441.84,1.11416,0.57472,0.94951,0.87142,0.85614,0.86594,0.42702,1.89752,0.9279,1.34452,0.000627292,0.000627292,0.000627292
65,2479.41,1.11273,0.57098,0.95536,0.89058,0.85965,0.88155,0.43175,1.91802,0.89776,1.35348,0.000610789,0.000610789,0.000610789
66,2517.18,1.09331,0.57178,0.94566,0.87663,0.87262,0.88376,0.43299,1.9137,0.92138,1.35895,0.000594286,0.000594286,0.000594286
67,2555.23,1.08056,0.56708,0.9406,0.8695,0.86498,0.87024,0.42782,1.86361,0.91893,1.34291,0.000577782,0.000577782,0.000577782
