epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,99655.3,1.22969,0.84827,0.00362,0.92048,0.81439,0.8979,0.72129,0.61134,0.30608,0.00333,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,101242,1.23166,0.84874,0.00363,0.90694,0.82513,0.89783,0.72204,0.60978,0.30544,0.00333,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,102829,1.22503,0.84458,0.0036,0.9145,0.81464,0.89753,0.72173,0.60838,0.30715,0.00332,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,104413,1.20832,0.83078,0.00356,0.89057,0.83576,0.89891,0.72291,0.60814,0.30506,0.00332,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,106000,1.20757,0.83352,0.00353,0.89407,0.83509,0.89763,0.72332,0.60719,0.305,0.00332,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,107584,1.20485,0.8291,0.00348,0.91774,0.81348,0.89583,0.72181,0.60656,0.30518,0.00331,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,109168,1.19393,0.821,0.00346,0.90901,0.82047,0.89443,0.72166,0.60533,0.30344,0.00332,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,110751,1.18819,0.81498,0.00342,0.8991,0.82182,0.89172,0.71964,0.6049,0.30674,0.0033,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,112334,1.18257,0.80591,0.00339,0.8976,0.82571,0.89286,0.72078,0.60449,0.30635,0.0033,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,113917,1.17443,0.80148,0.00338,0.90089,0.8257,0.89221,0.72092,0.60407,0.30416,0.00331,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,115502,1.17075,0.79676,0.00334,0.89916,0.82673,0.89226,0.72081,0.6028,0.30395,0.0033,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,117083,1.16959,0.79835,0.00334,0.89651,0.82834,0.89087,0.72036,0.60171,0.30414,0.0033,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,118669,1.16842,0.79264,0.00329,0.89817,0.82894,0.88976,0.71958,0.6002,0.30566,0.0033,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,120251,1.15163,0.78162,0.00325,0.89704,0.82769,0.88952,0.72035,0.59994,0.30759,0.0033,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,121835,1.14513,0.77538,0.00321,0.90073,0.82338,0.88885,0.7198,0.59859,0.30771,0.0033,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
